iter	Logloss
260	0.4776860292
261	0.4776865435
262	0.477683642
263	0.4776801888
264	0.4776822131
265	0.4776819814
266	0.4776800419
267	0.477678169
268	0.4776779374
269	0.4776779374
270	0.4776772244
271	0.4776728993
272	0.4776735725
273	0.477667475
274	0.4776699859
275	0.4776709815
276	0.4776709815
277	0.4776708203
278	0.4776685637
279	0.4776701726
280	0.4776737825
281	0.4776679122
282	0.4776688771
283	0.4776699387
284	0.4776644237
285	0.4776638734
286	0.4776638734
287	0.4776645182
288	0.4776647094
289	0.4776618717
290	0.4776618717
291	0.4776614526
292	0.4776614526
293	0.4776614526
294	0.4776614526
295	0.4776614526
296	0.4776614526
297	0.4776614526
298	0.4776614526
299	0.4776614526
300	0.4776614526
301	0.4776614526
302	0.4776614526
303	0.4776614526
304	0.4776614526
305	0.4776614526
306	0.4776614526
307	0.4776614526
308	0.4776614526
309	0.4776614526
310	0.4776614526
311	0.4776614526
312	0.4776614526
313	0.4776614526
314	0.4776614526
315	0.4776614526
316	0.4776614526
317	0.4776614526
318	0.4776614526
319	0.4776614526
320	0.4776614526
321	0.4776614526
322	0.4776614526
323	0.4776614526
324	0.4776614526
325	0.4776614526
326	0.4776614526
327	0.4776614526
328	0.4776614526
329	0.4776614204
330	0.4776614204
331	0.4776614204
332	0.4776614204
333	0.4776614204
334	0.4776614526
335	0.4776614526
336	0.4776614526
337	0.4776614526
338	0.4776614526
339	0.4776614526
340	0.4776614526
341	0.4776614526
342	0.4776614526
343	0.4776614526
344	0.4776614526
345	0.4776614526
346	0.4776614526
347	0.4776614526
348	0.4776614526
349	0.4776614526
350	0.4776614526
351	0.4776614526
352	0.4776614526
353	0.4776614526
354	0.4776615171
355	0.4776616138
356	0.477665612
357	0.4776609023
358	0.4776669931
359	0.4776646075
360	0.4776672495
361	0.4776672495
362	0.4776671528
363	0.4776671528
364	0.4776671528
365	0.4776671528
366	0.4776671528
367	0.4776671528
368	0.4776671528
369	0.4776671528
370	0.4776671528
371	0.4776671528
372	0.4776671528
373	0.4776671528
374	0.4776671528
375	0.4776674429
376	0.4776683456
377	0.4776646067
378	0.4776629288
379	0.4776642513
380	0.4776662178
381	0.4776704074
382	0.4776696329
383	0.4776701157
384	0.4776687287
385	0.4776654712
386	0.4776653107
387	0.4776654067
388	0.4776631823
389	0.4776613446
390	0.4776613769
391	0.4776629881
392	0.4776630511
393	0.4776623403
394	0.4776643721
395	0.4776627286
396	0.4776638247
397	0.4776641149
398	0.4776639214
399	0.4776638892
400	0.4776638892
401	0.4776635668
402	0.4776635668
403	0.4776635668
404	0.4776635668
405	0.4776635668
406	0.4776635668
407	0.4776635668
408	0.4776616333
409	0.4776611168
410	0.4776622773
411	0.4776627924
412	0.4776624715
413	0.477660957
414	0.4776612479
415	0.4776634709
416	0.4776639222
417	0.47765957
418	0.4776598279
419	0.4776603108
420	0.4776609226
421	0.4776597942
422	0.477659181
423	0.4776659818
424	0.4776644343
425	0.477662434
426	0.4776616281
427	0.4776616926
428	0.4776631425
429	0.4776631425
430	0.4776631425
431	0.4776631425
432	0.4776604667
433	0.4776604667
434	0.4776636261
435	0.4776603378
436	0.4776614339
437	0.4776609826
438	0.47766037
439	0.4776598864
440	0.4776595641
441	0.4776602088
442	0.4776631103
443	0.4776596593
444	0.4776579506
445	0.4776567564
446	0.4776563358
447	0.4776560779
448	0.4776561423
449	0.4776571732
450	0.4776569798
451	0.4776574312
452	0.4776569161
453	0.4776569161
454	0.4776569161
455	0.4776569161
456	0.4776568838
457	0.477657174
458	0.4776571417
459	0.4776600432
460	0.4776603333
461	0.4776604293
462	0.4776613312
463	0.4776610411
464	0.4776616206
465	0.4776608792
466	0.4776608792
467	0.4776608792
468	0.4776607824
469	0.4776607824
470	0.4776607824
471	0.4776607824
472	0.4776607824
473	0.4776607824
474	0.4776607824
475	0.4776607824
476	0.477660718
477	0.4776605897
478	0.4776604608
479	0.4776595896
480	0.4776600732
481	0.4776600732
482	0.4776605568
483	0.4776604278
484	0.47766046
485	0.4776605245
486	0.4776600732
487	0.4776600732
488	0.4776601377
489	0.4776598153
490	0.4776598153
491	0.4776598153
492	0.4776598153
493	0.4776598153
494	0.4776603955
495	0.4776603963
496	0.4776578157
497	0.4776575578
498	0.4776585579
499	0.4776555591
500	0.4776555591
501	0.4776555591
502	0.4776578165
503	0.4776578165
504	0.4776578165
505	0.4776578165
506	0.4776578165
507	0.4776578165
508	0.4776578165
509	0.4776578165
510	0.4776578165
511	0.4776578165
512	0.4776578165
513	0.4776578165
514	0.4776560749
515	0.4776560749
516	0.4776533661
517	0.4776554609
518	0.4776551048
519	0.477655137
520	0.4776556528
521	0.477655814
522	0.4776558785
523	0.4776557495
524	0.4776557495
525	0.4776560074
526	0.4776560074
527	0.4776560074
528	0.4776560074
529	0.4776560074
530	0.4776560074
531	0.4776556851
532	0.4776560726
533	0.477656039
534	0.4776559107
535	0.4776559752
536	0.4776559752
537	0.4776559752
538	0.4776559752
539	0.4776559752
540	0.4776560074
541	0.4776560074
542	0.4776560397
543	0.4776560397
544	0.4776554271
545	0.4776560074
546	0.4776564258
547	0.4776563291
548	0.4776563291
549	0.4776563291
550	0.4776563291
551	0.4776563291
552	0.4776563291
553	0.4776562646
554	0.4776562646
555	0.4776562646
556	0.4776562646
557	0.4776562646
558	0.4776563291
559	0.4776563291
560	0.4776563291
561	0.4776552982
562	0.4776552982
563	0.4776552981
564	0.4776555561
565	0.4776570383
566	0.477656458
567	0.477656458
568	0.477656458
569	0.477656458
570	0.477656458
571	0.477656458
572	0.4776572962
573	0.4776571021
574	0.4776564573
575	0.4776574252
576	0.477656329
577	0.4776559422
578	0.4776559422
579	0.4776559744
580	0.4776559744
581	0.4776562001
582	0.4776562001
583	0.4776562001
584	0.4776556198
585	0.4776558125
586	0.4776556184
587	0.4776556506
588	0.4776565203
589	0.4776561019
590	0.4776565203
591	0.477656359
592	0.477656359
593	0.4776563268
594	0.4776561327
595	0.4776562938
596	0.4776569063
597	0.4776570353
598	0.4776567452
599	0.4776567774
600	0.477657132
601	0.4776565832
602	0.477657228
603	0.4776567774
604	0.4776580669
605	0.4776548101
606	0.4776531015
607	0.4776523923
608	0.4776525212
609	0.4776519732
610	0.4776522633
611	0.4776521343
612	0.4776521988
613	0.4776522955
614	0.4776514889
615	0.4776514889
616	0.4776523277
617	0.4776523277
618	0.4776523277
619	0.4776523277
620	0.477652231
621	0.477652231
622	0.477652231
623	0.4776521988
624	0.4776521988
625	0.4776521988
626	0.477652231
627	0.477652231
628	0.477652231
629	0.4776522955
630	0.4776522633
631	0.4776522633
632	0.4776522633
633	0.4776522955
634	0.4776522955
635	0.4776522955
636	0.4776522955
637	0.4776522955
638	0.4776522955
639	0.4776522955
640	0.4776522955
641	0.4776522955
642	0.4776522955
643	0.4776522955
644	0.4776522955
645	0.4776522955
646	0.4776522955
647	0.4776522955
648	0.4776522955
649	0.477652231
650	0.4776522955
651	0.4776522955
652	0.4776522955
653	0.4776522955
654	0.4776522955
655	0.4776522955
656	0.4776522955
657	0.4776522955
658	0.4776522955
659	0.4776522955
660	0.4776522955
661	0.4776522955
662	0.4776522955
663	0.4776522955
664	0.4776522955
665	0.4776522633
666	0.4776523277
667	0.4776523277
668	0.4776523277
669	0.4776523278
670	0.4776523277
671	0.4776523277
672	0.4776524245
673	0.4776527791
674	0.4776527468
675	0.4776528436
676	0.4776525212
677	0.4776519086
678	0.4776512309
679	0.4776513599
680	0.4776508119
681	0.4776508119
682	0.4776508441
683	0.4776508441
684	0.4776508441
685	0.4776508441
686	0.4776504572
687	0.4776504572
688	0.4776504572
689	0.4776504572
690	0.4776504572
691	0.4776504572
692	0.4776504572
693	0.4776504572
694	0.4776504572
695	0.4776504572
696	0.4776504572
697	0.4776504572
698	0.4776504572
699	0.4776504572
700	0.4776504572
701	0.4776504572
702	0.4776504572
703	0.4776504572
704	0.4776504572
705	0.4776504572
706	0.4776504572
707	0.4776504572
708	0.4776504572
709	0.4776504572
710	0.4776504572
711	0.4776504572
712	0.4776504572
713	0.4776504572
714	0.4776504572
715	0.4776504572
716	0.4776504572
717	0.4776504572
718	0.4776504572
719	0.4776504572
720	0.4776504572
721	0.4776504572
722	0.4776504572
723	0.4776504572
724	0.4776504572
725	0.4776504572
726	0.4776504572
727	0.4776504572
728	0.4776515533
729	0.4776519402
730	0.4776527131
731	0.4776514881
732	0.4776521973
733	0.4776521973
734	0.4776521973
735	0.4776521328
736	0.4776521973
737	0.4776521973
738	0.4776521973
739	0.4776523585
740	0.4776523907
741	0.4776523907
742	0.4776521651
743	0.4776521651
744	0.4776521328
745	0.4776521328
746	0.4776521328
747	0.4776521328
748	0.4776521651
749	0.4776521651
750	0.4776523263
751	0.4776520361
752	0.4776520361
753	0.4776520361
754	0.4776519716
755	0.4776520039
756	0.4776520361
757	0.4776520361
758	0.4776519716
759	0.4776518749
760	0.4776518749
761	0.4776518749
762	0.4776518749
763	0.4776518749
764	0.4776518749
765	0.4776518749
766	0.4776518749
767	0.4776518749
768	0.4776518749
769	0.4776518749
770	0.4776518749
771	0.4776518749
772	0.4776518749
773	0.4776518749
774	0.4776516808
775	0.4776518098
776	0.4776528091
777	0.477652519
778	0.4776522611
779	0.4776527761
780	0.4776533886
781	0.4776535498
782	0.4776534209
783	0.4776534209
784	0.4776533887
785	0.4776534209
786	0.4776531952
787	0.4776534209
788	0.4776534209
789	0.4776534209
790	0.477653163
791	0.477653936
792	0.4776567736
793	0.4776569334
794	0.4776571591
795	0.4776592223
796	0.4776595124
797	0.477659867
798	0.4776564498
799	0.4776586735
800	0.4776586735
801	0.4776588025
802	0.4776590603
803	0.4776588984
804	0.4776590281
805	0.4776591571
806	0.477657932
807	0.477657932
808	0.477657932
809	0.4776590281
810	0.4776586735
811	0.4776586405
812	0.4776608972
813	0.4776604781
814	0.4776607038
815	0.4776608649
816	0.4776608327
817	0.4776611221
818	0.4776602846
819	0.4776597359
820	0.4776557376
821	0.4776557376
822	0.4776557376
823	0.4776557376
824	0.4776557376
825	0.4776557376
826	0.4776575436
827	0.4776570278
828	0.4776577371
829	0.477657995
830	0.4776563501
831	0.4776540605
832	0.4776541894
833	0.4776560599
834	0.4776551565
835	0.4776547052
836	0.4776545118
837	0.477654511
838	0.4776552203
839	0.477655188
840	0.4776548657
841	0.4776549946
842	0.4776550268
843	0.4776549301
844	0.4776543821
845	0.477654511
846	0.4776551236
847	0.4776545755
848	0.4776521891
849	0.4776521891
850	0.477652351
851	0.477652351
852	0.477652351
853	0.477652351
854	0.477652351
855	0.477652351
856	0.477652351
857	0.477652351
858	0.477652351
859	0.4776522543
860	0.4776523833
861	0.4776522866
862	0.4776520931
863	0.4776520931
864	0.4776520931
865	0.4776522866
866	0.4776522866
867	0.4776522866
868	0.4776522866
869	0.4776522866
870	0.4776522866
871	0.4776522866
872	0.4776522543
