iter	Passed	Remaining
470	1524	142
471	1527	139
472	1530	135
473	1534	132
474	1537	129
475	1540	126
476	1543	122
477	1546	119
478	1550	116
479	1553	113
480	1556	110
481	1559	106
482	1562	103
483	1566	100
484	1569	97
485	1572	93
486	1576	90
487	1579	87
488	1582	84
489	1586	80
490	1589	77
491	1592	74
492	1596	71
493	1599	67
494	1602	64
495	1606	61
496	1609	58
497	1613	55
498	1616	51
499	1620	48
500	1623	45
501	1627	42
502	1630	38
503	1633	35
504	1636	32
505	1640	29
506	1643	25
507	1647	22
508	1650	19
509	1653	16
510	1657	12
511	1660	9
512	1664	6
513	1668	3
514	1671	0
